datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,516.48,508.22529
2021-07-01T01:00:00.000000000,504.7,489.16777
2021-07-01T02:00:00.000000000,518.28,486.42366
2021-07-01T03:00:00.000000000,544.77,496.41766
2021-07-01T04:00:00.000000000,565.53,512.84331
2021-07-01T05:00:00.000000000,588.73,547.30911
2021-07-01T06:00:00.000000000,609.57,591.73194
2021-07-01T07:00:00.000000000,626.92,624.68929
2021-07-01T08:00:00.000000000,618.33,644.86983
2021-07-01T09:00:00.000000000,612.61,651.04314
2021-07-01T10:00:00.000000000,623.83,651.38214
2021-07-01T11:00:00.000000000,643.74,655.97001
2021-07-01T12:00:00.000000000,673.2,662.41011
2021-07-01T13:00:00.000000000,687.93,670.61361
2021-07-01T14:00:00.000000000,689.58,681.2434
2021-07-01T15:00:00.000000000,683.36,687.42328
2021-07-01T16:00:00.000000000,683.15,687.45996
2021-07-01T17:00:00.000000000,679.36,687.54545
2021-07-01T18:00:00.000000000,684.74,693.04875
2021-07-01T19:00:00.000000000,688.08,693.76029
2021-07-01T20:00:00.000000000,683.99,676.8915
2021-07-01T21:00:00.000000000,670.68,631.75266
2021-07-01T22:00:00.000000000,646.46,577.93891
2021-07-01T23:00:00.000000000,609.53,535.37123
2021-07-02T00:00:00.000000000,573.97,496.51067
2021-07-02T01:00:00.000000000,548.74,480.76648
2021-07-02T02:00:00.000000000,533.12,479.84426
2021-07-02T03:00:00.000000000,556.26,490.08719
2021-07-02T04:00:00.000000000,571.49,505.75586
2021-07-02T05:00:00.000000000,589.96,540.1848
2021-07-02T06:00:00.000000000,615.8,584.56194
2021-07-02T07:00:00.000000000,641.72,616.73455
2021-07-02T08:00:00.000000000,640.11,637.81494
2021-07-02T09:00:00.000000000,641.22,647.47342
2021-07-02T10:00:00.000000000,652.76,652.12562
2021-07-02T11:00:00.000000000,657.71,659.82978
2021-07-02T12:00:00.000000000,677.21,668.58857
2021-07-02T13:00:00.000000000,695.76,677.74736
2021-07-02T14:00:00.000000000,708.14,687.39623
2021-07-02T15:00:00.000000000,716.2,691.66222
2021-07-02T16:00:00.000000000,715.31,691.65105
2021-07-02T17:00:00.000000000,722.32,693.59309
2021-07-02T18:00:00.000000000,716.83,698.57143
2021-07-02T19:00:00.000000000,715.03,696.32102
2021-07-02T20:00:00.000000000,699.93,673.95251
2021-07-02T21:00:00.000000000,697.73,621.78115
2021-07-02T22:00:00.000000000,676.81,564.48208
2021-07-02T23:00:00.000000000,646.12,522.80031
2021-07-03T00:00:00.000000000,615.66,486.26516
2021-07-03T01:00:00.000000000,609.55,472.0261
2021-07-03T02:00:00.000000000,603.19,472.21091
2021-07-03T03:00:00.000000000,605.85,482.71819
2021-07-03T04:00:00.000000000,612.05,498.72806
2021-07-03T05:00:00.000000000,624.94,535.04518
2021-07-03T06:00:00.000000000,618.66,581.66425
2021-07-03T07:00:00.000000000,638.1,615.35962
2021-07-03T08:00:00.000000000,641.4,637.42499
2021-07-03T09:00:00.000000000,642.34,646.93405
2021-07-03T10:00:00.000000000,646.67,651.06248
2021-07-03T11:00:00.000000000,648.98,659.12002
2021-07-03T12:00:00.000000000,672.89,669.32051
2021-07-03T13:00:00.000000000,677.77,679.44563
2021-07-03T14:00:00.000000000,687.98,689.05092
