datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,574.41,571.6744
2021-07-01T01:00:00.000000000,561.44,568.40181
2021-07-01T02:00:00.000000000,576.01,574.2324
2021-07-01T03:00:00.000000000,604.13,583.58224
2021-07-01T04:00:00.000000000,628.06,603.07915
2021-07-01T05:00:00.000000000,655.76,631.86772
2021-07-01T06:00:00.000000000,680.08,667.75237
2021-07-01T07:00:00.000000000,700.4,706.70482
2021-07-01T08:00:00.000000000,693.87,731.66129
2021-07-01T09:00:00.000000000,686.01,740.81791
2021-07-01T10:00:00.000000000,691.64,733.29678
2021-07-01T11:00:00.000000000,710.18,720.38921
2021-07-01T12:00:00.000000000,739.1,716.26377
2021-07-01T13:00:00.000000000,750.65,719.18158
2021-07-01T14:00:00.000000000,751.71,731.40691
2021-07-01T15:00:00.000000000,745.44,732.25867
2021-07-01T16:00:00.000000000,745.13,730.86655
2021-07-01T17:00:00.000000000,741.13,729.30331
2021-07-01T18:00:00.000000000,746.98,729.47478
2021-07-01T19:00:00.000000000,750.82,733.26582
2021-07-01T20:00:00.000000000,748.34,717.8445
2021-07-01T21:00:00.000000000,737.29,681.8574
2021-07-01T22:00:00.000000000,712.07,637.73
2021-07-01T23:00:00.000000000,673.91,592.46044
2021-07-02T00:00:00.000000000,636.83,612.30956
2021-07-02T01:00:00.000000000,608.92,609.10982
2021-07-02T02:00:00.000000000,593.08,612.84033
2021-07-02T03:00:00.000000000,617.37,616.87392
2021-07-02T04:00:00.000000000,633.97,625.57508
2021-07-02T05:00:00.000000000,655.96,640.07576
2021-07-02T06:00:00.000000000,682.56,662.34713
2021-07-02T07:00:00.000000000,710.81,689.79337
2021-07-02T08:00:00.000000000,711.1,708.78168
2021-07-02T09:00:00.000000000,711.19,718.35011
2021-07-02T10:00:00.000000000,722.0,718.28992
2021-07-02T11:00:00.000000000,725.29,712.93097
2021-07-02T12:00:00.000000000,742.58,712.28037
2021-07-02T13:00:00.000000000,761.18,714.81618
2021-07-02T14:00:00.000000000,771.64,724.92755
2021-07-02T15:00:00.000000000,778.27,724.11465
2021-07-02T16:00:00.000000000,777.4,718.98569
2021-07-02T17:00:00.000000000,784.98,712.90847
2021-07-02T18:00:00.000000000,779.05,708.75407
2021-07-02T19:00:00.000000000,777.08,711.64887
2021-07-02T20:00:00.000000000,762.84,704.56302
2021-07-02T21:00:00.000000000,761.12,687.14123
2021-07-02T22:00:00.000000000,740.82,662.12792
2021-07-02T23:00:00.000000000,711.79,629.33977
2021-07-03T00:00:00.000000000,685.79,634.44752
2021-07-03T01:00:00.000000000,680.62,630.14928
2021-07-03T02:00:00.000000000,673.74,631.6724
2021-07-03T03:00:00.000000000,676.15,632.98871
2021-07-03T04:00:00.000000000,682.27,637.40681
2021-07-03T05:00:00.000000000,694.99,646.28822
2021-07-03T06:00:00.000000000,688.62,663.11929
2021-07-03T07:00:00.000000000,708.44,686.85373
2021-07-03T08:00:00.000000000,711.82,703.88895
2021-07-03T09:00:00.000000000,709.89,714.31709
2021-07-03T10:00:00.000000000,711.27,715.84364
2021-07-03T11:00:00.000000000,712.93,711.31711
2021-07-03T12:00:00.000000000,737.23,708.30291
2021-07-03T13:00:00.000000000,741.17,707.70591
2021-07-03T14:00:00.000000000,748.38,716.01057
2021-07-03T15:00:00.000000000,742.7,715.13747
2021-07-03T16:00:00.000000000,746.19,710.04453
2021-07-03T17:00:00.000000000,744.19,703.40552
2021-07-03T18:00:00.000000000,739.19,698.78687
2021-07-03T19:00:00.000000000,738.67,701.74241
2021-07-03T20:00:00.000000000,740.38,699.75034
2021-07-03T21:00:00.000000000,742.33,692.20308
2021-07-03T22:00:00.000000000,683.06,676.831
2021-07-03T23:00:00.000000000,563.08,650.0939
2021-07-04T00:00:00.000000000,503.92,640.67719
2021-07-04T01:00:00.000000000,487.25,616.42535
2021-07-04T02:00:00.000000000,485.61,599.85248
2021-07-04T03:00:00.000000000,484.58,589.71
2021-07-04T04:00:00.000000000,499.85,592.38015
2021-07-04T05:00:00.000000000,545.09,603.26247
2021-07-04T06:00:00.000000000,607.25,621.78512
2021-07-04T07:00:00.000000000,687.15,649.16845
