datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,368.86,383.24519
2021-07-01T01:00:00.000000000,360.62,384.4664
2021-07-01T02:00:00.000000000,360.99,386.28242
2021-07-01T03:00:00.000000000,370.01,388.52522
2021-07-01T04:00:00.000000000,382.46,392.2803
2021-07-01T05:00:00.000000000,405.72,397.46535
2021-07-01T06:00:00.000000000,411.12,402.95718
2021-07-01T07:00:00.000000000,410.16,407.7932
2021-07-01T08:00:00.000000000,413.33,411.94251
2021-07-01T09:00:00.000000000,418.71,414.41535
2021-07-01T10:00:00.000000000,423.23,415.32056
2021-07-01T11:00:00.000000000,429.63,415.14304
2021-07-01T12:00:00.000000000,430.1,414.82119
2021-07-01T13:00:00.000000000,427.32,414.40036
2021-07-01T14:00:00.000000000,427.92,412.99788
2021-07-01T15:00:00.000000000,427.18,412.93954
2021-07-01T16:00:00.000000000,429.48,413.67262
2021-07-01T17:00:00.000000000,432.16,414.53441
2021-07-01T18:00:00.000000000,431.97,414.45479
2021-07-01T19:00:00.000000000,429.6,413.03573
2021-07-01T20:00:00.000000000,425.81,411.43405
2021-07-01T21:00:00.000000000,424.24,409.14672
2021-07-01T22:00:00.000000000,428.68,406.27834
2021-07-01T23:00:00.000000000,433.79,404.02659
2021-07-02T00:00:00.000000000,430.21,405.84434
2021-07-02T01:00:00.000000000,429.09,407.50566
2021-07-02T02:00:00.000000000,430.33,409.56612
2021-07-02T03:00:00.000000000,430.53,411.54296
2021-07-02T04:00:00.000000000,424.8,414.45267
2021-07-02T05:00:00.000000000,428.91,418.15484
2021-07-02T06:00:00.000000000,431.7,421.83306
2021-07-02T07:00:00.000000000,434.1,424.98338
2021-07-02T08:00:00.000000000,435.71,427.93084
2021-07-02T09:00:00.000000000,436.51,429.48689
2021-07-02T10:00:00.000000000,441.55,429.85447
2021-07-02T11:00:00.000000000,445.06,429.58359
2021-07-02T12:00:00.000000000,439.34,429.18044
2021-07-02T13:00:00.000000000,438.04,428.61394
2021-07-02T14:00:00.000000000,435.01,426.91212
2021-07-02T15:00:00.000000000,432.77,426.48806
2021-07-02T16:00:00.000000000,430.09,426.5597
2021-07-02T17:00:00.000000000,425.96,426.48257
2021-07-02T18:00:00.000000000,424.96,425.45883
2021-07-02T19:00:00.000000000,421.18,423.0975
2021-07-02T20:00:00.000000000,417.85,420.79089
2021-07-02T21:00:00.000000000,414.83,418.32571
2021-07-02T22:00:00.000000000,414.91,415.52918
2021-07-02T23:00:00.000000000,410.11,413.46639
2021-07-03T00:00:00.000000000,402.44,410.68322
2021-07-03T01:00:00.000000000,394.25,411.7809
2021-07-03T02:00:00.000000000,390.8,413.10887
2021-07-03T03:00:00.000000000,398.55,414.18585
2021-07-03T04:00:00.000000000,405.88,416.11521
2021-07-03T05:00:00.000000000,419.4,418.83036
2021-07-03T06:00:00.000000000,431.35,421.7091
2021-07-03T07:00:00.000000000,436.87,424.38922
2021-07-03T08:00:00.000000000,443.88,427.24924
2021-07-03T09:00:00.000000000,451.28,428.98804
2021-07-03T10:00:00.000000000,459.24,429.74977
2021-07-03T11:00:00.000000000,453.85,430.01807
2021-07-03T12:00:00.000000000,445.39,430.08088
2021-07-03T13:00:00.000000000,440.11,429.8517
2021-07-03T14:00:00.000000000,422.47,428.45292
2021-07-03T15:00:00.000000000,416.32,428.29758
2021-07-03T16:00:00.000000000,416.57,428.52836
2021-07-03T17:00:00.000000000,417.29,428.52516
2021-07-03T18:00:00.000000000,412.39,427.57174
2021-07-03T19:00:00.000000000,405.8,425.28849
2021-07-03T20:00:00.000000000,409.49,423.12689
2021-07-03T21:00:00.000000000,406.11,420.89053
2021-07-03T22:00:00.000000000,407.05,418.29106
2021-07-03T23:00:00.000000000,409.46,416.279
2021-07-04T00:00:00.000000000,406.22,410.94032
2021-07-04T01:00:00.000000000,409.75,413.50048
2021-07-04T02:00:00.000000000,415.65,416.25877
2021-07-04T03:00:00.000000000,413.52,418.45545
2021-07-04T04:00:00.000000000,420.77,420.94302
2021-07-04T05:00:00.000000000,439.48,423.38574
2021-07-04T06:00:00.000000000,448.22,425.38829
2021-07-04T07:00:00.000000000,460.32,426.73271
2021-07-04T08:00:00.000000000,468.85,428.14821
2021-07-04T09:00:00.000000000,462.87,428.57358
2021-07-04T10:00:00.000000000,446.89,428.39711
2021-07-04T11:00:00.000000000,434.07,428.22788
2021-07-04T12:00:00.000000000,428.45,428.3561
2021-07-04T13:00:00.000000000,428.42,428.5306
2021-07-04T14:00:00.000000000,440.61,427.6445
2021-07-04T15:00:00.000000000,441.9,427.89
