datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,475.64,490.21569
2021-07-01T01:00:00.000000000,466.43,490.50202
2021-07-01T02:00:00.000000000,465.23,491.19608
2021-07-01T03:00:00.000000000,474.64,493.03061
2021-07-01T04:00:00.000000000,489.47,496.29218
2021-07-01T05:00:00.000000000,514.14,501.17106
2021-07-01T06:00:00.000000000,520.53,506.1196
2021-07-01T07:00:00.000000000,519.47,512.17203
2021-07-01T08:00:00.000000000,522.65,518.55397
2021-07-01T09:00:00.000000000,529.21,523.0028
2021-07-01T10:00:00.000000000,534.0,526.05421
2021-07-01T11:00:00.000000000,538.48,526.17729
2021-07-01T12:00:00.000000000,538.2,526.43528
2021-07-01T13:00:00.000000000,535.29,526.55857
2021-07-01T14:00:00.000000000,535.51,526.55719
2021-07-01T15:00:00.000000000,535.05,527.39749
2021-07-01T16:00:00.000000000,539.11,528.75908
2021-07-01T17:00:00.000000000,542.88,529.05249
2021-07-01T18:00:00.000000000,543.25,527.77603
2021-07-01T19:00:00.000000000,540.78,525.80783
2021-07-01T20:00:00.000000000,536.33,523.96191
2021-07-01T21:00:00.000000000,534.7,521.3349
2021-07-01T22:00:00.000000000,538.56,518.59315
2021-07-01T23:00:00.000000000,543.49,516.38989
2021-07-02T00:00:00.000000000,539.61,517.60513
2021-07-02T01:00:00.000000000,538.32,518.98535
2021-07-02T02:00:00.000000000,539.2,521.55021
2021-07-02T03:00:00.000000000,539.25,524.32887
2021-07-02T04:00:00.000000000,535.45,527.62907
2021-07-02T05:00:00.000000000,540.03,531.13813
2021-07-02T06:00:00.000000000,543.27,535.26754
2021-07-02T07:00:00.000000000,545.75,540.68325
2021-07-02T08:00:00.000000000,547.46,545.40202
2021-07-02T09:00:00.000000000,548.65,548.04978
2021-07-02T10:00:00.000000000,553.18,550.72752
2021-07-02T11:00:00.000000000,555.87,550.98063
2021-07-02T12:00:00.000000000,550.51,550.842
2021-07-02T13:00:00.000000000,549.55,550.44327
2021-07-02T14:00:00.000000000,547.03,550.53956
